model,relative_loop_file,mesh_file,mesh_exists,header_loops,parsed_loops,count_matches,concave,regular,convex,singular,actionable_nonconvex,type_pattern,loop_file,concave_fraction,regular_fraction,convex_fraction,mesh_parent,split,complexity_stratum,v1_split,v1_complexity_stratum
bimba,bimba/bimba_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/bimba/bimba_rem_splitted.obj,True,61,61,True,0,61,0,0,61,R61,/home/yjk/codes/LoopyCuts/test_data/bimba/bimba_rem_loop.txt,0.0,1.0,0.0,bimba,engineering_calibration,-1,engineering_calibration,-1
deckel,deckel/deckel_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/deckel/deckel_rem_splitted.obj,True,120,120,True,12,62,46,0,74,C11 R62 C1 V46,/home/yjk/codes/LoopyCuts/test_data/deckel/deckel_rem_loop.txt,0.1,0.5166666666666667,0.3833333333333333,deckel,engineering_calibration,-1,engineering_calibration,-1
BracketInches,BracketInches/BracketInches_rem_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/BracketInches/BracketInches_rem_rem_splitted.obj,True,130,130,True,14,76,40,0,90,C5 R76 C9 V40,/home/yjk/codes/LoopyCuts/test_data/BracketInches/BracketInches_rem_rem_loop.txt,0.1076923076923077,0.5846153846153846,0.3076923076923077,bracketinches,engineering_calibration,-1,engineering_calibration,-1
eraser_ball,eraser_ball/eraser_ball_rem_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/eraser_ball/eraser_ball_rem_rem_splitted.obj,True,128,128,True,28,72,28,0,100,C28 R72 V28,/home/yjk/codes/LoopyCuts/test_data/eraser_ball/eraser_ball_rem_rem_loop.txt,0.21875,0.5625,0.21875,eraser_ball,engineering_calibration,-1,engineering_calibration,-1
cylinder_plate,cylinder_plate/cylinder_plate_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/cylinder_plate/cylinder_plate_rem_splitted.obj,True,91,91,True,2,63,26,0,65,C2 R63 V26,/home/yjk/codes/LoopyCuts/test_data/cylinder_plate/cylinder_plate_rem_loop.txt,0.0219780219780219,0.6923076923076923,0.2857142857142857,cylinder_plate,engineering_calibration,-1,test,5
mech10,mech10/mech10_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/mech10/mech10_rem_splitted.obj,True,30,30,True,3,19,8,0,22,C3 R19 V8,/home/yjk/codes/LoopyCuts/test_data/mech10/mech10_rem_loop.txt,0.1,0.6333333333333333,0.2666666666666666,mech10,train,0,train,0
Plate3,Plate3/5_rem_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/Plate3/5_rem_rem_splitted.obj,True,76,76,True,2,28,46,0,30,C2 R28 V46,/home/yjk/codes/LoopyCuts/test_data/Plate3/5_rem_rem_loop.txt,0.0263157894736842,0.3684210526315789,0.6052631578947368,plate3,train,0,train,0
dog,dog/dog_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/dog/dog_rem_splitted.obj,True,38,38,True,0,38,0,0,38,R38,/home/yjk/codes/LoopyCuts/test_data/dog/dog_rem_loop.txt,0.0,1.0,0.0,dog,train,0,train,0
prism,prism/prism_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/prism/prism_rem_splitted.obj,True,64,64,True,0,46,18,0,46,R46 V18,/home/yjk/codes/LoopyCuts/test_data/prism/prism_rem_loop.txt,0.0,0.71875,0.28125,prism,train,0,train,0
wave,wave/wave_rem_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/wave/wave_rem_rem_splitted.obj,True,56,56,True,0,52,4,0,52,R52 V4,/home/yjk/codes/LoopyCuts/test_data/wave/wave_rem_rem_loop.txt,0.0,0.9285714285714286,0.0714285714285714,wave,train,0,train,0
cat,cat/cat_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/cat/cat_rem_splitted.obj,True,57,57,True,0,57,0,0,57,R57,/home/yjk/codes/LoopyCuts/test_data/cat/cat_rem_loop.txt,0.0,1.0,0.0,cat,train,1,train,1
torque1,torque1/torque1_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/torque1/torque1_rem_splitted.obj,True,57,57,True,0,57,0,0,57,R57,/home/yjk/codes/LoopyCuts/test_data/torque1/torque1_rem_loop.txt,0.0,1.0,0.0,torque1,train,1,train,1
buste,buste/buste_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/buste/buste_rem_splitted.obj,True,59,59,True,0,59,0,0,59,R59,/home/yjk/codes/LoopyCuts/test_data/buste/buste_rem_loop.txt,0.0,1.0,0.0,buste,train,1,train,1
kong,kong/kong_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/kong/kong_rem_splitted.obj,True,60,60,True,0,60,0,0,60,R60,/home/yjk/codes/LoopyCuts/test_data/kong/kong_rem_loop.txt,0.0,1.0,0.0,kong,train,1,train,1
rabbit,rabbit/rabbit_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/rabbit/rabbit_rem_splitted.obj,True,60,60,True,0,60,0,0,60,R60,/home/yjk/codes/LoopyCuts/test_data/rabbit/rabbit_rem_loop.txt,0.0,1.0,0.0,rabbit,train,1,train,1
torque,torque/torque_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/torque/torque_rem_splitted.obj,True,60,60,True,0,60,0,0,60,R60,/home/yjk/codes/LoopyCuts/test_data/torque/torque_rem_loop.txt,0.0,1.0,0.0,torque,train,2,train,2
bolt,bolt/bolt_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/bolt/bolt_rem_splitted.obj,True,61,61,True,0,61,0,0,61,R61,/home/yjk/codes/LoopyCuts/test_data/bolt/bolt_rem_loop.txt,0.0,1.0,0.0,bolt,train,2,train,2
bone_femur,bone_femur/bone_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/bone_femur/bone_rem_splitted.obj,True,61,61,True,0,61,0,0,61,R61,/home/yjk/codes/LoopyCuts/test_data/bone_femur/bone_rem_loop.txt,0.0,1.0,0.0,bone_femur,train,2,train,2
cactus,cactus/cactus_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/cactus/cactus_rem_splitted.obj,True,61,61,True,0,61,0,0,61,R61,/home/yjk/codes/LoopyCuts/test_data/cactus/cactus_rem_loop.txt,0.0,1.0,0.0,cactus,train,2,train,2
dancer,dancer/dancer_rem_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/dancer/dancer_rem_rem_splitted.obj,True,61,61,True,0,61,0,0,61,R61,/home/yjk/codes/LoopyCuts/test_data/dancer/dancer_rem_rem_loop.txt,0.0,1.0,0.0,dancer,train,2,train,2
hand,hand/hand_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/hand/hand_rem_splitted.obj,True,61,61,True,0,61,0,0,61,R61,/home/yjk/codes/LoopyCuts/test_data/hand/hand_rem_loop.txt,0.0,1.0,0.0,hand,train,3,train,3
holes2,holes2/holes2_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/holes2/holes2_rem_splitted.obj,True,61,61,True,0,61,0,0,61,R61,/home/yjk/codes/LoopyCuts/test_data/holes2/holes2_rem_loop.txt,0.0,1.0,0.0,holes2,train,3,train,3
