model,split,actionable_nonconvex,v1_complexity_stratum,raw_demo_status,demo_schema_version,demo_observation_version,demo_reward_version,demo_teacher_version,demo_num_steps,demo_total_return,demo_outcome,demo_quality_class,demo_npz_file,demo_metadata_file,demo_npz_sha256,original_profile_status,original_num_steps,original_committed_steps,original_reverted_steps,original_selection_success,original_tet_ratio,original_outcome,original_final_hex,original_final_total_polys,original_selection_peak_rss_mb,original_selection_peak_process_swap_mb,original_selection_min_mem_available_mb,original_peak_rss_mb,original_peak_process_swap_mb,original_min_mem_available_mb,original_selection_pilot_status,original_selection_pilot_stop_reason,original_selection_pilot_terminal,original_selection_pilot_completed_steps,original_selection_pilot_tet_ratio,original_selection_pilot_peak_rss_mb,original_selection_pilot_peak_process_swap_mb,original_selection_pilot_min_mem_available_mb,demo_baseline_trajectory_match,quality_role,quality_reason
mech10,train,22,0,COLLECTED,loopycuts_demo_episode_v1,observation_v1,reward_v2,original_runtime_policy_v1,9,1.253865323960781,FULL_HEX,UNCLASSIFIED,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/mech10/mech10_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/mech10/mech10_original_demo_v1.json,9056c3e51e76d16f9d3c12344759cd7988c1ec14041a66d2fc32022bb4a60519,COMPLETE,9,7,2,1,3.117538387715931,FULL_HEX,184,184,218.06640625,0.0,6992.1875,380.5625,0.0,6808.359375,SELECTION_TERMINAL,,True,9,3.117538387715931,216.35546875,0.0,6991.66796875,MATCH,UNFROZEN,UNFROZEN
Plate3,train,30,0,COLLECTED,loopycuts_demo_episode_v1,observation_v1,reward_v2,original_runtime_policy_v1,2,2.742460787296295,FULL_HEX,UNCLASSIFIED,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/Plate3/Plate3_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/Plate3/Plate3_original_demo_v1.json,da1eb0dbbc912cd39b5f998c9d9d77221da5169f6b9495f32e13fb0de0fb6746,COMPLETE,2,2,0,1,1.2103052076996361,FULL_HEX,28,28,255.046875,0.0,6958.1328125,387.5,0.0,6824.18359375,SELECTION_TERMINAL,,True,2,1.2103052076996361,254.98046875,0.0,6957.41015625,MATCH,UNFROZEN,UNFROZEN
dog,train,38,0,NOT_COLLECTED,,,,,,,,,,,,COMPLETE,38,34,4,0,10.239882803291387,FULL_HEX,1424,1424,1490.62890625,0.0,5610.98828125,2790.2890625,0.0,4309.640625,SELECTION_TERMINAL,,True,38,10.239882803291387,1490.6171875,0.0,5713.4453125,,UNFROZEN,UNFROZEN
prism,train,46,0,COLLECTED,loopycuts_demo_episode_v1,observation_v1,reward_v2,original_runtime_policy_v1,1,2.9214673042297363,FULL_HEX,UNCLASSIFIED,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/prism/prism_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/prism/prism_original_demo_v1.json,2ed2dc0e027b6a9c1390ced044d1800c964cb9f521ddf62ee41a7dd75299bee2,COMPLETE,1,1,0,1,1.0584374145318625,FULL_HEX,12,12,239.98046875,0.0,6855.234375,239.98046875,0.0,6855.234375,SELECTION_TERMINAL,,True,1,1.0584374145318625,240.0703125,0.0,6972.671875,MATCH,UNFROZEN,UNFROZEN
wave,train,52,0,COLLECTED,loopycuts_demo_episode_v1,observation_v1,reward_v2,original_runtime_policy_v1,7,2.4465398639440536,FULL_HEX,UNCLASSIFIED,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/wave/wave_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/wave/wave_original_demo_v1.json,ce0234e69a85af8bcb52c5b253fb76f9c30f819211b4b4d4b9f831c300b656a6,COMPLETE,7,7,0,1,1.5202044075375278,FULL_HEX,136,136,294.24609375,0.0,6782.015625,391.58984375,0.0,6695.7109375,SELECTION_TERMINAL,,True,7,1.5202044075375278,294.515625,0.0,6917.17578125,MATCH,UNFROZEN,UNFROZEN
cat,train,57,1,NOT_COLLECTED,,,,,,,,,,,,COMPLETE,35,27,8,1,10.277980586702737,FULL_HEX,3720,3720,2163.44921875,0.0,4930.6015625,4066.5390625,0.0,3031.98828125,SELECTION_TERMINAL,,True,35,10.277980586702737,2163.35546875,0.0,4939.40625,,UNFROZEN,UNFROZEN
torque1,train,57,1,NOT_COLLECTED,,,,,,,,,,,,UNPROFILED,,,,,,,,,,,,,,,RESOURCE_PILOT_STOPPED,MIN_MEM_THRESHOLD,False,47,21.657644744960923,5290.234375,0.0,1804.46875,,UNFROZEN,UNFROZEN
buste,train,59,1,NOT_COLLECTED,,,,,,,,,,,,UNPROFILED,,,,,,,,,,,,,,,RESOURCE_PILOT_STOPPED,MIN_MEM_THRESHOLD,False,49,18.987728097942462,5162.0625,0.0,1928.9375,,UNFROZEN,UNFROZEN
kong,train,60,1,NOT_COLLECTED,,,,,,,,,,,,COMPLETE,21,19,2,1,2.4651715622526686,FULL_HEX,1504,1504,1622.125,0.0,5484.54296875,2906.20703125,0.0,4196.19140625,SELECTION_TERMINAL,,True,21,2.4651715622526686,1622.13671875,0.0,5465.8125,,UNFROZEN,UNFROZEN
rabbit,train,60,1,NOT_COLLECTED,,,,,,,,,,,,UNPROFILED,,,,,,,,,,,,,,,SELECTION_TERMINAL,,True,60,14.54825995562303,4719.7734375,0.0,2372.48046875,,UNFROZEN,UNFROZEN
torque,train,60,2,NOT_COLLECTED,,,,,,,,,,,,UNPROFILED,,,,,,,,,,,,,,,SELECTION_TERMINAL,,True,60,25.279999313516853,4610.94140625,0.0,2435.44921875,,UNFROZEN,UNFROZEN
bolt,train,61,2,COLLECTED,loopycuts_demo_episode_v1,observation_v1,reward_v2,original_runtime_policy_v1,19,1.3568998165428638,FULL_HEX,UNCLASSIFIED,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/bolt/bolt_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/bolt/bolt_original_demo_v1.json,c4b9fb0b12e3c1b59c25d7c95a572555052dc28067e3dfc1db544e75bf0c9ea9,COMPLETE,19,19,0,1,3.7871920410481374,FULL_HEX,840,840,856.74609375,0.0,6237.28125,1540.64453125,0.0,5552.99609375,SELECTION_TERMINAL,,True,19,3.7871920410481374,858.7890625,0.0,6229.02734375,MATCH,UNFROZEN,UNFROZEN
bone_femur,train,61,2,NOT_COLLECTED,,,,,,,,,,,,COMPLETE,47,43,4,1,5.932375667686563,NON_FULL_HEX,2498,2502,1162.2109375,0.0,5933.94140625,2148.85546875,0.0,4950.08203125,SELECTION_TERMINAL,,True,47,5.932375667686563,1161.69921875,0.0,5925.4921875,,UNFROZEN,UNFROZEN
cactus,train,61,2,NOT_COLLECTED,,,,,,,,,,,,COMPLETE,61,59,2,0,22.88958099445913,NON_FULL_HEX,712,716,1061.1796875,0.0,6030.0234375,1928.82421875,0.0,5166.2578125,SELECTION_TERMINAL,,True,61,22.88958099445913,1060.37109375,0.0,6034.45703125,,UNFROZEN,UNFROZEN
dancer,train,61,2,COLLECTED,loopycuts_demo_episode_v1,observation_v1,reward_v2,original_runtime_policy_v1,18,1.2775501944124699,FULL_HEX,UNCLASSIFIED,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/dancer/dancer_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/dancer/dancer_original_demo_v1.json,9855801fd7cf63c22e5542ee743e5b648a9fb839518f7a1ceea3dcf0a1ff2657,COMPLETE,18,16,2,1,3.4122362646079,FULL_HEX,582,582,1318.4609375,0.0,5745.11328125,2064.59375,0.0,5007.28515625,SELECTION_TERMINAL,,True,18,3.4122362646079,1318.5078125,0.0,5743.046875,MATCH,UNFROZEN,UNFROZEN
hand,train,61,3,COLLECTED,loopycuts_demo_episode_v1,observation_v1,reward_v2,original_runtime_policy_v1,51,-0.37425416707992554,FULL_HEX,UNCLASSIFIED,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/hand/hand_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/hand/hand_original_demo_v1.json,0bc9b620cb91c0d93326eb87b62251df7304bbd70d74ad502489deffa7995bf3,COMPLETE,51,49,2,1,10.362448990922466,FULL_HEX,2112,2112,1226.8359375,0.0,5872.89453125,2292.671875,0.0,4810.07421875,SELECTION_TERMINAL,,True,51,10.362448990922466,1226.80078125,0.0,5870.7265625,MATCH,UNFROZEN,UNFROZEN
holes2,train,61,3,NOT_COLLECTED,,,,,,,,,,,,UNPROFILED,,,,,,,,,,,,,,,SELECTION_TERMINAL,,True,61,41.339662650602406,4033.95703125,0.0,3066.65234375,,UNFROZEN,UNFROZEN
indorelax,train,61,3,NOT_COLLECTED,,,,,,,,,,,,COMPLETE,61,58,3,0,15.928311401545669,FULL_HEX,1448,1448,3409.39453125,0.0,3665.87109375,6450.69140625,0.0,633.0,SELECTION_TERMINAL,,True,61,15.928311401545669,3409.42578125,0.0,3672.37890625,,UNFROZEN,UNFROZEN
kitten,train,61,3,COLLECTED,loopycuts_demo_episode_v1,observation_v1,reward_v2,original_runtime_policy_v1,20,1.1751162074506283,FULL_HEX,UNCLASSIFIED,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/kitten/kitten_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/kitten/kitten_original_demo_v1.json,bcac7e96431d2ccd4b86f90751fc4f7f3f3adf0b3e4765fa40e134fe2bdd8be3,COMPLETE,20,19,1,1,4.043112905683376,FULL_HEX,1128,1128,955.2265625,0.0,6142.08203125,1719.859375,0.0,5377.9296875,SELECTION_TERMINAL,,True,20,4.043112905683376,955.1171875,0.0,6117.328125,MATCH,UNFROZEN,UNFROZEN
teapot,train,61,3,NOT_COLLECTED,,,,,,,,,,,,COMPLETE,34,29,5,1,6.597276772397335,NON_FULL_HEX,2282,2300,1736.58203125,0.0,5368.2265625,3254.6328125,0.0,3853.78515625,SELECTION_TERMINAL,,True,34,6.597276772397335,1736.57421875,0.0,5355.921875,,UNFROZEN,UNFROZEN
trebol,train,61,4,COLLECTED,loopycuts_demo_episode_v1,observation_v1,reward_v2,original_runtime_policy_v1,14,1.9964441172778606,FULL_HEX,UNCLASSIFIED,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/trebol/trebol_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/trebol/trebol_original_demo_v1.json,adac3364117379a9315d8ab8afc20992431f3092566e5be6ae72bccc7456b249,COMPLETE,14,13,1,1,1.9621635038912115,FULL_HEX,480,480,848.4609375,0.0,6224.41796875,1367.2578125,0.0,5706.5703125,SELECTION_TERMINAL,,True,14,1.9621635038912115,848.41015625,0.0,6249.80859375,MATCH,UNFROZEN,UNFROZEN
wedge,train,61,4,COLLECTED,loopycuts_demo_episode_v1,observation_v1,reward_v2,original_runtime_policy_v1,1,2.9489314556121826,FULL_HEX,UNCLASSIFIED,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/wedge/wedge_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/wedge/wedge_original_demo_v1.json,1c9d6f1738026463ad7ad82720b223475c7df9ae32ce974ce59acb7459944906,COMPLETE,1,1,0,1,1.0352833180338814,FULL_HEX,14,14,320.10546875,0.0,6763.14453125,320.10546875,0.0,6763.14453125,SELECTION_TERMINAL,,True,1,1.0352833180338814,320.109375,0.0,6774.09765625,MATCH,UNFROZEN,UNFROZEN
Plate2,train,61,4,COLLECTED,loopycuts_demo_episode_v1,observation_v1,reward_v2,original_runtime_policy_v1,1,2.932136297225952,FULL_HEX,UNCLASSIFIED,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/Plate2/Plate2_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/Plate2/Plate2_original_demo_v1.json,a666ed6455ea108c565890af525ef8489c836f8603de93eb9d40c78efe9a5206,COMPLETE,1,1,0,1,1.0528178725751587,FULL_HEX,16,16,487.00390625,0.0,6616.64453125,699.9296875,0.0,6396.62109375,SELECTION_TERMINAL,,True,1,1.0528178725751587,486.76171875,0.0,6582.19921875,MATCH,UNFROZEN,UNFROZEN
cube_minus_sphere,train,61,4,COLLECTED,loopycuts_demo_episode_v1,observation_v1,reward_v2,original_runtime_policy_v1,1,2.923311233520508,FULL_HEX,UNCLASSIFIED,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/cube_minus_sphere/cube_minus_sphere_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/cube_minus_sphere/cube_minus_sphere_original_demo_v1.json,83edcc9cb8298361c8d2d98e02b9f39c230e9de3972791f101d13441b7d62a20,COMPLETE,1,1,0,1,1.0621502229557764,FULL_HEX,20,20,374.22265625,0.0,6714.51171875,577.5859375,0.0,6517.94921875,SELECTION_TERMINAL,,True,1,1.0621502229557764,374.375,0.0,6700.38671875,MATCH,UNFROZEN,UNFROZEN
