quality_version,model,split,raw_demo_status,integrity_status,demo_num_steps,demo_outcome,original_profile_status,original_selection_success,original_outcome,demo_baseline_trajectory_match,quality_role,quality_reason,main_demo_replay_eligible,strong_bc_eligible,auxiliary_rl_eligible,demo_npz_file,demo_metadata_file
demo_quality_v1,mech10,train,COLLECTED,VERIFIED,9,FULL_HEX,COMPLETE,1,FULL_HEX,MATCH,BC_CORE,VERIFIED_ORIGINAL_TRAJECTORY_ENDS_FULL_HEX,1,1,0,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/mech10/mech10_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/mech10/mech10_original_demo_v1.json
demo_quality_v1,Plate3,train,COLLECTED,VERIFIED,2,FULL_HEX,COMPLETE,1,FULL_HEX,MATCH,BC_CORE,VERIFIED_ORIGINAL_TRAJECTORY_ENDS_FULL_HEX,1,1,0,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/Plate3/Plate3_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/Plate3/Plate3_original_demo_v1.json
demo_quality_v1,dog,train,NOT_COLLECTED,NOT_APPLICABLE,,,COMPLETE,0,FULL_HEX,,NOT_AVAILABLE,RAW_DEMO_NOT_COLLECTED,0,0,0,,
demo_quality_v1,prism,train,COLLECTED,VERIFIED,1,FULL_HEX,COMPLETE,1,FULL_HEX,MATCH,BC_CORE,VERIFIED_ORIGINAL_TRAJECTORY_ENDS_FULL_HEX,1,1,0,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/prism/prism_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/prism/prism_original_demo_v1.json
demo_quality_v1,wave,train,COLLECTED,VERIFIED,7,FULL_HEX,COMPLETE,1,FULL_HEX,MATCH,BC_CORE,VERIFIED_ORIGINAL_TRAJECTORY_ENDS_FULL_HEX,1,1,0,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/wave/wave_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/wave/wave_original_demo_v1.json
demo_quality_v1,cat,train,NOT_COLLECTED,NOT_APPLICABLE,,,COMPLETE,1,FULL_HEX,,NOT_AVAILABLE,RAW_DEMO_NOT_COLLECTED,0,0,0,,
demo_quality_v1,torque1,train,NOT_COLLECTED,NOT_APPLICABLE,,,UNPROFILED,,,,NOT_AVAILABLE,RAW_DEMO_NOT_COLLECTED,0,0,0,,
demo_quality_v1,buste,train,NOT_COLLECTED,NOT_APPLICABLE,,,UNPROFILED,,,,NOT_AVAILABLE,RAW_DEMO_NOT_COLLECTED,0,0,0,,
demo_quality_v1,kong,train,NOT_COLLECTED,NOT_APPLICABLE,,,COMPLETE,1,FULL_HEX,,NOT_AVAILABLE,RAW_DEMO_NOT_COLLECTED,0,0,0,,
demo_quality_v1,rabbit,train,NOT_COLLECTED,NOT_APPLICABLE,,,UNPROFILED,,,,NOT_AVAILABLE,RAW_DEMO_NOT_COLLECTED,0,0,0,,
demo_quality_v1,torque,train,NOT_COLLECTED,NOT_APPLICABLE,,,UNPROFILED,,,,NOT_AVAILABLE,RAW_DEMO_NOT_COLLECTED,0,0,0,,
demo_quality_v1,bolt,train,NOT_COLLECTED,NOT_APPLICABLE,,,COMPLETE,1,FULL_HEX,,NOT_AVAILABLE,RAW_DEMO_NOT_COLLECTED,0,0,0,,
demo_quality_v1,bone_femur,train,NOT_COLLECTED,NOT_APPLICABLE,,,COMPLETE,1,NON_FULL_HEX,,NOT_AVAILABLE,RAW_DEMO_NOT_COLLECTED,0,0,0,,
demo_quality_v1,cactus,train,NOT_COLLECTED,NOT_APPLICABLE,,,COMPLETE,0,NON_FULL_HEX,,NOT_AVAILABLE,RAW_DEMO_NOT_COLLECTED,0,0,0,,
demo_quality_v1,dancer,train,NOT_COLLECTED,NOT_APPLICABLE,,,COMPLETE,1,FULL_HEX,,NOT_AVAILABLE,RAW_DEMO_NOT_COLLECTED,0,0,0,,
demo_quality_v1,hand,train,NOT_COLLECTED,NOT_APPLICABLE,,,COMPLETE,1,FULL_HEX,,NOT_AVAILABLE,RAW_DEMO_NOT_COLLECTED,0,0,0,,
demo_quality_v1,holes2,train,NOT_COLLECTED,NOT_APPLICABLE,,,UNPROFILED,,,,NOT_AVAILABLE,RAW_DEMO_NOT_COLLECTED,0,0,0,,
demo_quality_v1,indorelax,train,NOT_COLLECTED,NOT_APPLICABLE,,,COMPLETE,0,FULL_HEX,,NOT_AVAILABLE,RAW_DEMO_NOT_COLLECTED,0,0,0,,
demo_quality_v1,kitten,train,NOT_COLLECTED,NOT_APPLICABLE,,,COMPLETE,1,FULL_HEX,,NOT_AVAILABLE,RAW_DEMO_NOT_COLLECTED,0,0,0,,
demo_quality_v1,teapot,train,NOT_COLLECTED,NOT_APPLICABLE,,,COMPLETE,1,NON_FULL_HEX,,NOT_AVAILABLE,RAW_DEMO_NOT_COLLECTED,0,0,0,,
demo_quality_v1,trebol,train,NOT_COLLECTED,NOT_APPLICABLE,,,COMPLETE,1,FULL_HEX,,NOT_AVAILABLE,RAW_DEMO_NOT_COLLECTED,0,0,0,,
demo_quality_v1,wedge,train,COLLECTED,VERIFIED,1,FULL_HEX,COMPLETE,1,FULL_HEX,MATCH,BC_CORE,VERIFIED_ORIGINAL_TRAJECTORY_ENDS_FULL_HEX,1,1,0,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/wedge/wedge_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/wedge/wedge_original_demo_v1.json
demo_quality_v1,Plate2,train,COLLECTED,VERIFIED,1,FULL_HEX,COMPLETE,1,FULL_HEX,MATCH,BC_CORE,VERIFIED_ORIGINAL_TRAJECTORY_ENDS_FULL_HEX,1,1,0,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/Plate2/Plate2_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/Plate2/Plate2_original_demo_v1.json
