model,split,header_loops,actionable_nonconvex,concave,regular,convex,v1_complexity_stratum,original_profile_status,original_initial_actionable,original_num_steps,original_committed_steps,original_reverted_steps,original_selection_success,original_tet_ratio,original_outcome,original_final_hex,original_final_total_polys,original_selection_peak_rss_mb,original_selection_peak_process_swap_mb,original_selection_min_mem_available_mb,original_peak_rss_mb,original_peak_process_swap_mb,original_min_mem_available_mb,original_selection_pilot_status,original_selection_pilot_stop_reason,original_selection_pilot_terminal,original_selection_pilot_completed_steps,original_selection_pilot_tet_ratio,original_selection_pilot_peak_rss_mb,original_selection_pilot_peak_process_swap_mb,original_selection_pilot_min_mem_available_mb,random_seed0_complete_status,random_seed0_num_steps,random_seed0_committed_steps,random_seed0_reverted_steps,random_seed0_selection_success,random_seed0_tet_ratio,random_seed0_outcome,random_seed0_final_hex,random_seed0_final_total_polys,random_seed0_selection_peak_rss_mb,random_seed0_selection_peak_process_swap_mb,random_seed0_selection_min_mem_available_mb,random_seed0_peak_rss_mb,random_seed0_peak_process_swap_mb,random_seed0_min_mem_available_mb,random_seed0_pilot_status,random_seed0_pilot_stop_reason,random_seed0_pilot_terminal,random_seed0_pilot_completed_steps,random_seed0_pilot_tet_ratio,random_seed0_pilot_peak_rss_mb,random_seed0_pilot_peak_process_swap_mb,random_seed0_pilot_min_mem_available_mb,random_seed0_finalization_status,resource_role,exploration_risk
mech10,train,30,22,3,19,8,0,COMPLETE,22,9,7,2,1,3.117538387715931,FULL_HEX,184,184,218.06640625,0.0,6992.1875,380.5625,0.0,6808.359375,SELECTION_TERMINAL,,True,9,3.117538387715931,216.35546875,0.0,6991.66796875,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
Plate3,train,76,30,2,28,46,0,COMPLETE,30,2,2,0,1,1.2103052076996361,FULL_HEX,28,28,255.046875,0.0,6958.1328125,387.5,0.0,6824.18359375,SELECTION_TERMINAL,,True,2,1.2103052076996361,254.98046875,0.0,6957.41015625,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
dog,train,38,38,0,38,0,0,COMPLETE,38,38,34,4,0,10.239882803291387,FULL_HEX,1424,1424,1490.62890625,0.0,5610.98828125,2790.2890625,0.0,4309.640625,SELECTION_TERMINAL,,True,38,10.239882803291387,1490.6171875,0.0,5713.4453125,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
prism,train,64,46,0,46,18,0,COMPLETE,46,1,1,0,1,1.0584374145318625,FULL_HEX,12,12,239.98046875,0.0,6855.234375,239.98046875,0.0,6855.234375,SELECTION_TERMINAL,,True,1,1.0584374145318625,240.0703125,0.0,6972.671875,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
wave,train,56,52,0,52,4,0,COMPLETE,52,7,7,0,1,1.5202044075375278,FULL_HEX,136,136,294.24609375,0.0,6782.015625,391.58984375,0.0,6695.7109375,SELECTION_TERMINAL,,True,7,1.5202044075375278,294.515625,0.0,6917.17578125,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
cat,train,57,57,0,57,0,1,COMPLETE,57,35,27,8,1,10.277980586702737,FULL_HEX,3720,3720,2163.44921875,0.0,4930.6015625,4066.5390625,0.0,3031.98828125,SELECTION_TERMINAL,,True,35,10.277980586702737,2163.35546875,0.0,4939.40625,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
torque1,train,57,57,0,57,0,1,UNPROFILED,,,,,,,,,,,,,,,,RESOURCE_PILOT_STOPPED,MIN_MEM_THRESHOLD,False,47,21.657644744960923,5290.234375,0.0,1804.46875,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
buste,train,59,59,0,59,0,1,UNPROFILED,,,,,,,,,,,,,,,,RESOURCE_PILOT_STOPPED,MIN_MEM_THRESHOLD,False,49,18.987728097942462,5162.0625,0.0,1928.9375,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
kong,train,60,60,0,60,0,1,COMPLETE,60,21,19,2,1,2.4651715622526686,FULL_HEX,1504,1504,1622.125,0.0,5484.54296875,2906.20703125,0.0,4196.19140625,SELECTION_TERMINAL,,True,21,2.4651715622526686,1622.13671875,0.0,5465.8125,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
rabbit,train,60,60,0,60,0,1,UNPROFILED,,,,,,,,,,,,,,,,SELECTION_TERMINAL,,True,60,14.54825995562303,4719.7734375,0.0,2372.48046875,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
torque,train,60,60,0,60,0,2,UNPROFILED,,,,,,,,,,,,,,,,SELECTION_TERMINAL,,True,60,25.279999313516853,4610.94140625,0.0,2435.44921875,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
bolt,train,61,61,0,61,0,2,COMPLETE,61,19,19,0,1,3.7871920410481374,FULL_HEX,840,840,856.74609375,0.0,6237.28125,1540.64453125,0.0,5552.99609375,SELECTION_TERMINAL,,True,19,3.7871920410481374,858.7890625,0.0,6229.02734375,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
bone_femur,train,61,61,0,61,0,2,COMPLETE,61,47,43,4,1,5.932375667686563,NON_FULL_HEX,2498,2502,1162.2109375,0.0,5933.94140625,2148.85546875,0.0,4950.08203125,SELECTION_TERMINAL,,True,47,5.932375667686563,1161.69921875,0.0,5925.4921875,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
cactus,train,61,61,0,61,0,2,COMPLETE,61,61,59,2,0,22.88958099445913,NON_FULL_HEX,712,716,1061.1796875,0.0,6030.0234375,1928.82421875,0.0,5166.2578125,SELECTION_TERMINAL,,True,61,22.88958099445913,1060.37109375,0.0,6034.45703125,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
dancer,train,61,61,0,61,0,2,COMPLETE,61,18,16,2,1,3.4122362646079,FULL_HEX,582,582,1318.4609375,0.0,5745.11328125,2064.59375,0.0,5007.28515625,SELECTION_TERMINAL,,True,18,3.4122362646079,1318.5078125,0.0,5743.046875,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
hand,train,61,61,0,61,0,3,COMPLETE,61,51,49,2,1,10.362448990922466,FULL_HEX,2112,2112,1226.8359375,0.0,5872.89453125,2292.671875,0.0,4810.07421875,SELECTION_TERMINAL,,True,51,10.362448990922466,1226.80078125,0.0,5870.7265625,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
holes2,train,61,61,0,61,0,3,UNPROFILED,,,,,,,,,,,,,,,,SELECTION_TERMINAL,,True,61,41.339662650602406,4033.95703125,0.0,3066.65234375,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
indorelax,train,61,61,0,61,0,3,COMPLETE,61,61,58,3,0,15.928311401545669,FULL_HEX,1448,1448,3409.39453125,0.0,3665.87109375,6450.69140625,0.0,633.0,SELECTION_TERMINAL,,True,61,15.928311401545669,3409.42578125,0.0,3672.37890625,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
kitten,train,61,61,0,61,0,3,COMPLETE,61,20,19,1,1,4.043112905683376,FULL_HEX,1128,1128,955.2265625,0.0,6142.08203125,1719.859375,0.0,5377.9296875,SELECTION_TERMINAL,,True,20,4.043112905683376,955.1171875,0.0,6117.328125,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
teapot,train,61,61,0,61,0,3,COMPLETE,61,34,29,5,1,6.597276772397335,NON_FULL_HEX,2282,2300,1736.58203125,0.0,5368.2265625,3254.6328125,0.0,3853.78515625,SELECTION_TERMINAL,,True,34,6.597276772397335,1736.57421875,0.0,5355.921875,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
trebol,train,61,61,0,61,0,4,COMPLETE,61,14,13,1,1,1.9621635038912115,FULL_HEX,480,480,848.4609375,0.0,6224.41796875,1367.2578125,0.0,5706.5703125,SELECTION_TERMINAL,,True,14,1.9621635038912115,848.41015625,0.0,6249.80859375,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
wedge,train,79,61,0,61,18,4,COMPLETE,61,1,1,0,1,1.0352833180338814,FULL_HEX,14,14,320.10546875,0.0,6763.14453125,320.10546875,0.0,6763.14453125,SELECTION_TERMINAL,,True,1,1.0352833180338814,320.109375,0.0,6774.09765625,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
Plate2,train,85,61,0,61,24,4,COMPLETE,61,1,1,0,1,1.0528178725751587,FULL_HEX,16,16,487.00390625,0.0,6616.64453125,699.9296875,0.0,6396.62109375,SELECTION_TERMINAL,,True,1,1.0528178725751587,486.76171875,0.0,6582.19921875,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
cube_minus_sphere,train,91,61,0,61,30,4,COMPLETE,61,1,1,0,1,1.0621502229557764,FULL_HEX,20,20,374.22265625,0.0,6714.51171875,577.5859375,0.0,6517.94921875,SELECTION_TERMINAL,,True,1,1.0621502229557764,374.375,0.0,6700.38671875,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
blade,train,62,62,0,62,0,4,COMPLETE,62,48,43,5,1,5.1064316786768265,NON_FULL_HEX,4110,4127,2100.03515625,0.0,4986.4296875,3873.61328125,0.0,3212.58984375,SELECTION_TERMINAL,,True,48,5.1064316786768265,2099.98828125,0.0,4992.65234375,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
bunny,train,63,63,0,63,0,5,COMPLETE,63,32,31,1,1,4.092705906096912,FULL_HEX,2648,2648,1520.3984375,0.0,5565.66015625,2805.94140625,0.0,4276.703125,SELECTION_TERMINAL,,True,32,4.092705906096912,1535.390625,0.0,5562.265625,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
Plate4,train,83,63,0,63,20,5,COMPLETE,63,12,11,1,1,1.6677431920953028,FULL_HEX,648,648,1292.5078125,0.0,5797.28515625,2124.48046875,0.0,4967.4140625,SELECTION_TERMINAL,,True,12,1.6677431920953028,1272.3984375,0.0,5812.23828125,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
tris_closed,train,112,64,3,61,48,5,COMPLETE,64,3,3,0,1,1.0901458393697312,FULL_HEX,30,30,358.28515625,0.0,6730.4609375,358.28515625,0.0,6730.4609375,SELECTION_TERMINAL,,True,3,1.0901458393697312,358.25390625,0.0,6726.34765625,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
cup,train,71,65,2,63,6,5,COMPLETE,65,10,8,2,1,1.509475355569496,FULL_HEX,280,280,1003.3125,0.0,6058.05859375,1494.25,0.0,5581.359375,SELECTION_TERMINAL,,True,10,1.509475355569496,1003.24609375,0.0,6081.0,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
bladefem,train,94,70,7,63,24,6,UNPROFILED,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
tris_open,train,130,70,9,61,60,6,UNPROFILED,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
ujoint,train,81,71,0,71,10,6,UNPROFILED,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
metatron,train,87,71,0,71,16,6,UNPROFILED,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
joint,train,107,71,4,67,36,6,UNPROFILED,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
inlay_dovetail_3,train,149,71,10,61,78,7,UNPROFILED,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
lever_arm,train,84,72,2,70,12,7,UNPROFILED,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
mechanical08,train,89,73,8,65,16,7,UNPROFILED,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
knob,train,101,73,12,61,28,7,UNPROFILED,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
boat,train,99,77,16,61,22,7,UNPROFILED,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
mechanical02,train,100,80,16,64,20,8,COMPLETE,80,42,38,4,1,6.68493961138298,FULL_HEX,1476,1476,1301.46875,0.0,5844.21875,2433.53125,0.0,4703.9140625,,,,,,,,,COMPLETE,34,32,2,1,4.920915844722229,FULL_HEX,1448,1448,1008.91015625,0.0,6212.08203125,1850.28515625,0.0,5369.32421875,,,,,,,,,,UNFROZEN,UNFROZEN
gear,train,287,81,20,61,206,8,COMPLETE,81,20,18,2,1,4.141724388058428,FULL_HEX,314,314,1043.51953125,0.0,6167.3515625,1886.9296875,0.0,5326.94140625,,,,,,,,,NOT_RUN_OR_INCOMPLETE,,,,,,,,,,,,,,,,,,,,,,,,UNFROZEN,UNFROZEN
